party	node_id	party_id
ALIANZA POR EL FUTURO	16	0
ALIANZA POR EL FUTURO	86	0
ALIANZA POR EL FUTURO	19	0
ALIANZA POR EL FUTURO	83	0
ALIANZA POR EL FUTURO	84	0
ALIANZA POR EL FUTURO	87	0
ALIANZA POR EL FUTURO	118	0
ALIANZA POR EL FUTURO	29	0
ALIANZA POR EL FUTURO	59	0
ALIANZA POR EL FUTURO	72	0
ALIANZA POR EL FUTURO	114	0
ALIANZA POR EL FUTURO	47	0
ALIANZA POR EL FUTURO	85	0
FRENTE DE CENTRO	113	1
FRENTE DE CENTRO	31	1
FRENTE DE CENTRO	78	1
FRENTE DE CENTRO	79	1
FRENTE DE CENTRO	81	1
PARTIDO APRISTA PERUANO	32	2
PARTIDO APRISTA PERUANO	110	2
PARTIDO APRISTA PERUANO	112	2
PARTIDO APRISTA PERUANO	108	2
PARTIDO APRISTA PERUANO	14	2
PARTIDO APRISTA PERUANO	39	2
PARTIDO APRISTA PERUANO	36	2
PARTIDO APRISTA PERUANO	76	2
PARTIDO APRISTA PERUANO	54	2
PARTIDO APRISTA PERUANO	109	2
PARTIDO APRISTA PERUANO	68	2
PARTIDO APRISTA PERUANO	20	2
PARTIDO APRISTA PERUANO	111	2
PARTIDO APRISTA PERUANO	35	2
PARTIDO APRISTA PERUANO	80	2
PARTIDO APRISTA PERUANO	23	2
PARTIDO APRISTA PERUANO	53	2
PARTIDO APRISTA PERUANO	8	2
PARTIDO APRISTA PERUANO	92	2
PARTIDO APRISTA PERUANO	15	2
PARTIDO APRISTA PERUANO	89	2
PARTIDO APRISTA PERUANO	22	2
PARTIDO APRISTA PERUANO	17	2
PARTIDO APRISTA PERUANO	88	2
PARTIDO APRISTA PERUANO	69	2
PARTIDO APRISTA PERUANO	77	2
PARTIDO APRISTA PERUANO	56	2
PARTIDO APRISTA PERUANO	43	2
PARTIDO APRISTA PERUANO	9	2
PARTIDO APRISTA PERUANO	40	2
PARTIDO APRISTA PERUANO	42	2
PARTIDO APRISTA PERUANO	21	2
PARTIDO APRISTA PERUANO	57	2
PARTIDO APRISTA PERUANO	74	2
PARTIDO APRISTA PERUANO	38	2
PERU POSIBLE	30	4
PERU POSIBLE	91	4
RESTAURACION NACIONAL	90	5
RESTAURACION NACIONAL	93	5
UNIDAD NACIONAL	100	3
UNIDAD NACIONAL	101	3
UNIDAD NACIONAL	117	3
UNIDAD NACIONAL	103	3
UNIDAD NACIONAL	97	3
UNIDAD NACIONAL	106	3
UNIDAD NACIONAL	105	3
UNIDAD NACIONAL	82	3
UNIDAD NACIONAL	98	3
UNIDAD NACIONAL	95	3
UNIDAD NACIONAL	94	3
UNIDAD NACIONAL	102	3
UNIDAD NACIONAL	11	3
UNIDAD NACIONAL	99	3
UNIDAD NACIONAL	96	3
UNIDAD NACIONAL	119	3
UNIDAD NACIONAL	55	3
UNIDAD NACIONAL	104	3
UNION POR EL PERU	28	6
UNION POR EL PERU	27	6
UNION POR EL PERU	7	6
UNION POR EL PERU	24	6
UNION POR EL PERU	70	6
UNION POR EL PERU	48	6
UNION POR EL PERU	0	6
UNION POR EL PERU	3	6
UNION POR EL PERU	13	6
UNION POR EL PERU	2	6
UNION POR EL PERU	107	6
UNION POR EL PERU	5	6
UNION POR EL PERU	51	6
UNION POR EL PERU	116	6
UNION POR EL PERU	1	6
UNION POR EL PERU	44	6
UNION POR EL PERU	46	6
UNION POR EL PERU	71	6
UNION POR EL PERU	6	6
UNION POR EL PERU	64	6
UNION POR EL PERU	50	6
UNION POR EL PERU	62	6
UNION POR EL PERU	41	6
UNION POR EL PERU	60	6
UNION POR EL PERU	49	6
UNION POR EL PERU	33	6
UNION POR EL PERU	75	6
UNION POR EL PERU	37	6
UNION POR EL PERU	4	6
UNION POR EL PERU	58	6
UNION POR EL PERU	67	6
UNION POR EL PERU	73	6
UNION POR EL PERU	61	6
UNION POR EL PERU	63	6
UNION POR EL PERU	26	6
UNION POR EL PERU	65	6
UNION POR EL PERU	66	6
UNION POR EL PERU	115	6
UNION POR EL PERU	52	6
UNION POR EL PERU	25	6
UNION POR EL PERU	45	6
UNION POR EL PERU	18	6
UNION POR EL PERU	12	6
UNION POR EL PERU	10	6
UNION POR EL PERU	34	6
